transaction_id,customer_id,transaction_type,amount,merchant,transaction_date,transaction_time,status,description
TXN00001,CUST001,salary_credit,280619,Employer Payroll,2026-03-30,19:18,completed,SALARY_CREDIT: Employer Payroll
TXN00002,CUST001,fund_transfer,152456,Fund Transfer,2026-01-23,13:57,completed,FUND_TRANSFER: Fund Transfer
TXN00003,CUST001,credit_card_purchase,9568,Swiggy,2026-01-10,19:09,completed,CREDIT_CARD_PURCHASE: Swiggy
TXN00004,CUST002,fund_transfer,43674,Fund Transfer,2026-01-02,14:21,completed,FUND_TRANSFER: Fund Transfer
TXN00005,CUST002,cheque_deposit,54996,Cheque Deposit,2026-04-03,11:53,completed,CHEQUE_DEPOSIT: Cheque Deposit
TXN00006,CUST002,merchant_payment,26024,Amazon,2025-11-22,14:30,failed,MERCHANT_PAYMENT: Amazon
TXN00007,CUST003,debit_card_purchase,23552,Reliance Digital,2026-01-01,16:47,completed,DEBIT_CARD_PURCHASE: Reliance Digital
TXN00008,CUST003,fund_transfer,265972,Fund Transfer,2026-02-21,12:27,completed,FUND_TRANSFER: Fund Transfer
TXN00009,CUST003,cheque_deposit,4304,Cheque Deposit,2026-01-09,13:42,completed,CHEQUE_DEPOSIT: Cheque Deposit
TXN00010,CUST004,merchant_payment,47959,Google Play,2026-03-17,17:34,completed,MERCHANT_PAYMENT: Google Play
TXN00011,CUST004,debit_card_purchase,26322,School Fees,2025-10-31,08:05,failed,DEBIT_CARD_PURCHASE: School Fees
TXN00012,CUST004,merchant_payment,9393,Zomato,2026-04-06,12:24,completed,MERCHANT_PAYMENT: Zomato
TXN00013,CUST005,bill_payment,3967,Mobile,2026-01-25,13:48,completed,BILL_PAYMENT: Mobile
TXN00014,CUST005,merchant_payment,18735,Ola,2026-03-29,15:01,completed,MERCHANT_PAYMENT: Ola
TXN00015,CUST005,debit_card_purchase,23435,Spotify,2025-11-03,08:48,completed,DEBIT_CARD_PURCHASE: Spotify
TXN00016,CUST006,debit_card_purchase,16705,Amazon,2025-11-10,10:15,completed,DEBIT_CARD_PURCHASE: Amazon
TXN00017,CUST006,atm_withdrawal,36035,ATM Withdrawal,2026-03-20,17:13,pending,ATM_WITHDRAWAL: ATM Withdrawal
TXN00018,CUST006,cheque_deposit,92180,Cheque Deposit,2026-02-12,20:23,completed,CHEQUE_DEPOSIT: Cheque Deposit
TXN00019,CUST007,atm_withdrawal,44707,ATM Withdrawal,2026-03-20,20:52,pending,ATM_WITHDRAWAL: ATM Withdrawal
TXN00020,CUST007,atm_withdrawal,25384,ATM Withdrawal,2025-11-21,08:59,completed,ATM_WITHDRAWAL: ATM Withdrawal
TXN00021,CUST007,salary_credit,351883,Employer Payroll,2025-10-27,22:24,completed,SALARY_CREDIT: Employer Payroll
TXN00022,CUST008,merchant_payment,47359,Spotify,2025-11-18,19:53,completed,MERCHANT_PAYMENT: Spotify
TXN00023,CUST008,fund_transfer,63425,Fund Transfer,2025-10-22,20:19,completed,FUND_TRANSFER: Fund Transfer
TXN00024,CUST008,credit_card_purchase,37588,Croma,2025-12-03,14:42,completed,CREDIT_CARD_PURCHASE: Croma
TXN00025,CUST009,bill_payment,1629,Internet,2026-04-15,21:26,completed,BILL_PAYMENT: Internet
TXN00026,CUST009,cheque_deposit,14333,Cheque Deposit,2025-12-29,13:40,completed,CHEQUE_DEPOSIT: Cheque Deposit
TXN00027,CUST009,cheque_deposit,93208,Cheque Deposit,2026-03-10,14:11,completed,CHEQUE_DEPOSIT: Cheque Deposit
TXN00028,CUST010,salary_credit,372915,Employer Payroll,2025-12-02,20:30,completed,SALARY_CREDIT: Employer Payroll
TXN00029,CUST010,cheque_deposit,57591,Cheque Deposit,2025-11-18,12:20,completed,CHEQUE_DEPOSIT: Cheque Deposit
TXN00030,CUST010,fund_transfer,445542,Fund Transfer,2026-03-27,12:56,completed,FUND_TRANSFER: Fund Transfer
TXN00031,CUST011,cheque_deposit,32463,Cheque Deposit,2025-12-21,17:39,completed,CHEQUE_DEPOSIT: Cheque Deposit
TXN00032,CUST011,merchant_payment,22546,Electricity Board,2026-01-25,10:31,completed,MERCHANT_PAYMENT: Electricity Board
TXN00033,CUST011,fund_transfer,196030,Fund Transfer,2026-02-11,13:17,completed,FUND_TRANSFER: Fund Transfer
